normbin_0.6m,event_0.6m,normbin_0.6s,event_0.6s,,normbin_0.3m,event_0.3m,normbin_0.3s,event_0.3s
3.57,0,,,,9.36,0,,
3.57,0,,,,9.35,0,,
3.57,0,,,,9.33,0,,
3.56,0,,,,9.32,0,,
3.56,0,,,,9.31,0,,
3.55,0,,,,9.3,0,,
3.55,0,,,,9.29,0,,
3.55,0,,,,9.28,0,,
3.54,0,,,,9.27,0,,
3.54,0,,,,9.26,0,,
3.53,0,,,,9.25,0,,
3.53,0,,,,9.24,0,,
3.52,0,,,,9.23,0,,
3.52,0,,,,9.22,0,,
3.52,0,,,,9.21,0,,
3.51,0,,,,9.2,0,,
3.51,0,,,,9.19,0,,
3.5,0,,,,9.18,0,,
3.5,0,,,,9.17,0,,
3.5,0,,,,9.16,0,,
3.49,0,,,,9.14,0,,
3.49,0,,,,9.13,0,,
3.48,1,,,,9.12,0,,
3.48,0,,,,9.11,0,,
3.48,0,,,,9.1,0,,
3.47,0,,,,9.09,0,,
3.47,0,,,,9.08,0,,
3.46,0,,,,9.07,0,,
3.46,0,,,,9.06,0,,
3.46,0,,,,9.05,0,,
3.45,0,,,,9.04,0,,
3.45,0,,,,9.03,0,,
3.44,0,,,,9.02,0,,
3.44,0,,,,9.01,0,,
3.44,0,,,,9,0,,
3.43,0,,,,8.99,0,,
3.43,0,,,,8.98,0,,
3.42,0,,,,8.96,0,,
3.42,0,,,,8.95,0,,
3.42,0,,,,8.94,0,,
3.41,0,,,,8.93,0,,
3.41,0,,,,8.92,0,,
3.4,0,,,,8.91,0,,
3.4,0,,,,8.9,0,,
3.4,0,,,,8.89,0,,
3.39,0,,,,8.88,0,,
3.39,0,,,,8.87,1,,
3.38,0,,,,8.86,0,,
3.38,1,,,,8.85,0,,
3.38,0,,,,8.84,0,,
3.37,1,,,,8.83,0,,
3.37,0,,,,8.82,0,,
3.36,0,,,,8.81,0,,
3.36,0,,,,8.8,0,,
3.36,0,,,,8.78,0,,
3.35,0,,,,8.77,0,,
3.35,0,,,,8.76,0,,
3.34,0,,,,8.75,0,,
3.34,0,,,,8.74,0,,
3.33,0,,,,8.73,1,,
3.33,0,,,,8.72,0,,
3.33,0,,,,8.71,0,,
3.32,0,,,,8.7,0,,
3.32,0,,,,8.69,0,,
3.31,1,,,,8.68,0,,
3.31,0,,,,8.67,0,,
3.31,0,,,,8.66,0,,
3.3,0,,,,8.65,0,,
3.3,0,,,,8.64,0,,
3.29,0,,,,8.63,0,,
3.29,0,,,,8.62,0,,
3.29,0,,,,8.61,0,,
3.28,0,,,,8.59,0,,
3.28,0,,,,8.58,1,,
3.27,0,,,,8.57,1,,
3.27,0,,,,8.56,1,,
3.27,0,,,,8.55,1,,
3.26,0,,,,8.54,0,,
3.26,0,,,,8.53,0,,
3.25,0,,,,8.52,1,,
3.25,0,,,,8.51,0,,
3.25,0,,,,8.5,0,,
3.24,0,,,,8.49,0,,
3.24,0,,,,8.48,2,,
3.23,0,,,,8.47,0,,
3.23,0,,,,8.46,0,,
3.23,1,,,,8.45,0,,
3.22,1,,,,8.44,0,,
3.22,0,,,,8.43,1,,
3.21,0,,,,8.41,0,,
3.21,1,,,,8.4,0,,
3.21,0,,,,8.39,0,,
3.2,1,,,,8.38,0,,
3.2,0,,,,8.37,0,,
3.19,1,,,,8.36,0,,
3.19,1,,,,8.35,0,,
3.19,0,,,,8.34,0,,
3.18,0,,,,8.33,0,,
3.18,0,,,,8.32,0,,
3.17,1,,,,8.31,0,,
3.17,0,,,,8.3,0,,
3.17,0,,,,8.29,0,,
3.16,0,,,,8.28,0,,
3.16,0,,,,8.27,0,,
3.15,0,,,,8.26,0,,
3.15,0,,,,8.25,0,,
3.15,0,,,,8.23,0,,
3.14,1,,,,8.22,0,,
3.14,0,,,,8.21,0,,
3.13,0,,,,8.2,0,,
3.13,0,,,,8.19,0,,
3.12,0,,,,8.18,0,,
3.12,0,,,,8.17,0,,
3.12,1,,,,8.16,0,,
3.11,0,,,,8.15,0,,
3.11,0,,,,8.14,0,,
3.1,0,,,,8.13,1,,
3.1,0,,,,8.12,0,,
3.1,0,,,,8.11,0,,
3.09,0,,,,8.1,0,,
3.09,0,,,,8.09,0,,
3.08,0,,,,8.08,0,,
3.08,0,,,,8.07,0,,
3.08,0,,,,8.06,0,,
3.07,0,,,,8.04,0,,
3.07,0,,,,8.03,1,,
3.06,0,,,,8.02,0,,
3.06,0,,,,8.01,0,,
3.06,1,,,,8,0,,
3.05,0,,,,7.99,0,,
3.05,0,,,,7.98,0,,
3.04,0,,,,7.97,0,,
3.04,0,,,,7.96,0,,
3.04,0,,,,7.95,0,,
3.03,1,,,,7.94,0,,
3.03,0,,,,7.93,0,,
3.02,0,,,,7.92,0,,
3.02,0,,,,7.91,0,,
3.02,0,,,,7.9,0,,
3.01,0,,,,7.89,0,,
3.01,0,,,,7.88,0,,
3,0,,,,7.86,1,,
3,0,,,,7.85,0,,
3,0,,,,7.84,0,,
2.99,0,,,,7.83,0,,
2.99,0,,,,7.82,0,,
2.98,0,,,,7.81,0,,
2.98,0,,,,7.8,0,,
2.98,0,,,,7.79,0,,
2.97,0,,,,7.78,0,,
2.97,0,,,,7.77,0,,
2.96,0,,,,7.76,1,,
2.96,0,,,,7.75,1,,
2.96,0,,,,7.74,1,,
2.95,0,,,,7.73,0,,
2.95,0,,,,7.72,0,,
2.94,0,,,,7.71,0,,
2.94,0,,,,7.7,0,,
2.94,0,,,,7.68,0,,
2.93,0,,,,7.67,0,,
2.93,0,,,,7.66,0,,
2.92,0,,,,7.65,0,,
2.92,0,,,,7.64,0,,
2.91,0,,,,7.63,0,,
2.91,0,,,,7.62,0,,
2.91,0,,,,7.61,0,,
2.9,0,,,,7.6,0,,
2.9,0,,,,7.59,0,,
2.89,0,,,,7.58,0,,
2.89,0,,,,7.57,1,,
2.89,1,,,,7.56,0,,
2.88,0,,,,7.55,0,,
2.88,0,,,,7.54,0,,
2.87,0,,,,7.53,0,,
2.87,0,,,,7.52,0,,
2.87,0,,,,7.51,1,,
2.86,0,,,,7.49,0,,
2.86,2,,,,7.48,0,,
2.85,0,,,,7.47,1,,
2.85,0,,,,7.46,0,,
2.85,0,,,,7.45,0,,
2.84,0,,,,7.44,0,,
2.84,0,,,,7.43,0,,
2.83,1,,,,7.42,0,,
2.83,0,,,,7.41,0,,
2.83,0,,,,7.4,0,,
2.82,0,,,,7.39,0,,
2.82,0,,,,7.38,0,,
2.81,0,,,,7.37,0,,
2.81,0,,,,7.36,0,,
2.81,0,,,,7.35,0,,
2.8,0,,,,7.34,0,,
2.8,0,,,,7.33,0,,
2.79,0,,,,7.31,1,,
2.79,0,,,,7.3,0,,
2.79,0,,,,7.29,0,,
2.78,0,,,,7.28,0,,
2.78,0,,,,7.27,0,,
2.77,0,,,,7.26,1,,
2.77,1,,,,7.25,1,,
2.77,0,,,,7.24,0,,
2.76,0,,,,7.23,0,,
2.76,0,,,,7.22,0,,
2.75,0,,,,7.21,0,,
2.75,0,,,,7.2,0,,
2.75,0,,,,7.19,0,,
2.74,1,,,,7.18,0,,
2.74,0,,,,7.17,0,,
2.73,0,,,,7.16,0,,
2.73,0,,,,7.15,0,,
2.72,0,,,,7.13,1,,
2.72,0,,,,7.12,0,,
2.72,1,,,,7.11,0,,
2.71,0,,,,7.1,0,,
2.71,1,,,,7.09,0,,
2.7,0,,,,7.08,0,,
2.7,0,,,,7.07,0,,
2.7,0,,,,7.06,2,,
2.69,0,,,,7.05,0,,
2.69,0,,,,7.04,0,,
2.68,0,,,,7.03,0,,
2.68,0,,,,7.02,1,,
2.68,0,,,,7.01,0,,
2.67,0,,,,7,0,,
2.67,0,,,,6.99,0,,
2.66,0,,,,6.98,1,,
2.66,0,,,,6.97,0,,
2.66,0,,,,6.96,0,,
2.65,0,,,,6.94,0,,
2.65,0,,,,6.93,0,,
2.64,0,,,,6.92,0,,
2.64,0,,,,6.91,0,,
2.64,0,,,,6.9,0,,
2.63,0,,,,6.89,0,,
2.63,0,,,,6.88,1,,
2.62,0,,,,6.87,0,,
2.62,0,,,,6.86,0,,
2.62,0,,,,6.85,1,,
2.61,0,,,,6.84,1,,
2.61,1,,,,6.83,0,,
2.6,0,,,,6.82,0,,
2.6,0,,,,6.81,0,,
2.6,0,,,,6.8,0,,
2.59,1,,,,6.79,1,,
2.59,0,,,,6.78,0,,
2.58,0,,,,6.76,0,,
2.58,0,,,,6.75,0,,
2.58,0,,,,6.74,0,,
2.57,0,,,,6.73,0,,
2.57,0,,,,6.72,0,,
2.56,0,,,,6.71,0,,
2.56,0,,,,6.7,0,,
2.56,0,,,,6.69,0,,
2.55,0,,,,6.68,0,,
2.55,0,,,,6.67,0,,
2.54,0,,,,6.66,0,,
2.54,1,,,,6.65,0,,
2.54,0,,,,6.64,0,,
2.53,0,,,,6.63,0,,
2.53,0,,,,6.62,1,,
2.52,1,,,,6.61,0,,
2.52,0,,,,6.6,0,,
2.51,0,,,,6.58,0,,
2.51,0,,,,6.57,0,,
2.51,0,,,,6.56,0,,
2.5,0,,,,6.55,0,,
2.5,0,,,,6.54,0,,
2.49,0,,,,6.53,0,,
2.49,0,,,,6.52,0,,
2.49,0,,,,6.51,0,,
2.48,1,,,,6.5,0,,
2.48,0,,,,6.49,0,,
2.47,0,,,,6.48,0,,
2.47,0,,,,6.47,0,,
2.47,0,,,,6.46,0,,
2.46,0,,,,6.45,0,,
2.46,0,,,,6.44,0,,
2.45,0,,,,6.43,0,,
2.45,0,,,,6.42,0,,
2.45,0,,,,6.4,0,,
2.44,0,,,,6.39,0,,
2.44,0,,,,6.38,0,,
2.43,0,,,,6.37,0,,
2.43,0,,,,6.36,1,,
2.43,0,,,,6.35,0,,
2.42,0,,,,6.34,0,,
2.42,1,,,,6.33,0,,
2.41,0,,,,6.32,0,,
2.41,1,,,,6.31,0,,
2.41,0,,,,6.3,0,,
2.4,0,,,,6.29,0,,
2.4,0,,,,6.28,0,,
2.39,0,,,,6.27,0,,
2.39,0,,,,6.26,0,,
2.39,0,,,,6.25,0,,
2.38,1,,,,6.24,0,,
2.38,0,,,,6.23,0,,
2.37,0,,,,6.21,0,,
2.37,1,,,,6.2,0,,
2.37,0,,,,6.19,0,,
2.36,0,,,,6.18,0,,
2.36,0,,,,6.17,0,,
2.35,0,,,,6.16,0,,
2.35,1,,,,6.15,0,,
2.35,0,,,,6.14,0,,
2.34,0,,,,6.13,0,,
2.34,0,,,,6.12,0,,
2.33,0,,,,6.11,0,,
2.33,0,,,,6.1,0,,
2.33,0,,,,6.09,0,,
2.32,0,,,,6.08,0,,
2.32,0,,,,6.07,0,,
2.31,0,,,,6.06,0,,
2.31,0,,,,6.05,1,,
2.3,0,,,,6.03,0,,
2.3,0,,,,6.02,0,,
2.3,0,,,,6.01,0,,
2.29,0,,,,6,0,,
2.29,0,,,,5.99,1,,
2.28,0,,,,5.98,0,,
2.28,0,,,,5.97,0,,
2.28,0,,,,5.96,0,,
2.27,0,,,,5.95,0,,
2.27,0,,,,5.94,0,,
2.26,0,,,,5.93,1,,
2.26,1,,,,5.92,0,,
2.26,0,,,,5.91,0,,
2.25,0,,,,5.9,0,,
2.25,0,,,,5.89,0,,
2.24,0,,,,5.88,0,,
2.24,0,,,,5.87,0,,
2.24,0,,,,5.85,0,,
2.23,0,,,,5.84,0,,
2.23,0,,,,5.83,0,,
2.22,0,,,,5.82,0,,
2.22,0,,,,5.81,0,,
2.22,1,,,,5.8,0,,
2.21,0,,,,5.79,0,,
2.21,0,,,,5.78,2,,
2.2,0,,,,5.77,1,,
2.2,0,,,,5.76,0,,
2.2,1,,,,5.75,0,,
2.19,0,,,,5.74,0,,
2.19,0,,,,5.73,0,,
2.18,0,,,,5.72,0,,
2.18,0,,,,5.71,0,,
2.18,0,,,,5.7,1,,
2.17,1,,,,5.69,0,,
2.17,0,,,,5.68,0,,
2.16,0,,,,5.66,0,,
2.16,0,,,,5.65,0,,
2.16,0,,,,5.64,0,,
2.15,0,,,,5.63,0,,
2.15,0,,,,5.62,0,,
2.14,0,,,,5.61,0,,
2.14,0,,,,5.6,0,,
2.14,0,,,,5.59,0,,
2.13,0,,,,5.58,0,,
2.13,0,,,,5.57,0,,
2.12,0,,,,5.56,0,,
2.12,0,,,,5.55,0,,
2.11,0,,,,5.54,0,,
2.11,0,,,,5.53,0,,
2.11,1,,,,5.52,0,,
2.1,1,,,,5.51,1,,
2.1,0,,,,5.5,0,,
2.09,0,,,,5.48,0,,
2.09,0,,,,5.47,1,,
2.09,0,,,,5.46,0,,
2.08,0,,,,5.45,0,,
2.08,0,,,,5.44,0,,
2.07,0,,,,5.43,0,,
2.07,1,,,,5.42,0,,
2.07,1,,,,5.41,0,,
2.06,0,,,,5.4,0,,
2.06,0,,,,5.39,0,,
2.05,0,,,,5.38,0,,
2.05,0,,,,5.37,0,,
2.05,0,,,,5.36,0,,
2.04,1,,,,5.35,0,,
2.04,0,,,,5.34,0,,
2.03,0,,,,5.33,0,,
2.03,0,,,,5.32,1,,
2.03,0,,,,5.3,0,,
2.02,0,,,,5.29,0,,
2.02,0,,,,5.28,0,,
2.01,0,,,,5.27,1,,
2.01,0,,,,5.26,0,,
2.01,0,,,,5.25,0,,
2,0,,,,5.24,0,,
2,0,,,,5.23,0,,
1.99,0,,,,5.22,0,,
1.99,0,,,,5.21,0,,
1.99,0,,,,5.2,0,,
1.98,0,,,,5.19,0,,
1.98,0,,,,5.18,0,,
1.97,0,,,,5.17,0,,
1.97,0,,,,5.16,0,,
1.97,0,,,,5.15,0,,
1.96,0,,,,5.14,0,,
1.96,0,,,,5.13,0,,
1.95,1,,,,5.11,0,,
1.95,0,,,,5.1,0,,
1.95,0,,,,5.09,0,,
1.94,0,,,,5.08,0,,
1.94,0,,,,5.07,0,,
1.93,0,,,,5.06,0,,
1.93,0,,,,5.05,0,,
1.93,0,,,,5.04,0,,
1.92,1,,,,5.03,0,,
1.92,0,,,,5.02,0,,
1.91,0,,,,5.01,0,,
1.91,0,,,,5,0,,
1.9,0,,,,4.99,0,,
1.9,0,,,,4.98,0,,
1.9,0,,,,4.97,0,,
1.89,1,,,,4.96,0,,
1.89,2,,,,4.95,0,,
1.88,1,,,,4.93,0,,
1.88,0,,,,4.92,0,,
1.88,0,,,,4.91,0,,
1.87,0,,,,4.9,0,,
1.87,0,,,,4.89,0,,
1.86,0,,,,4.88,0,,
1.86,0,,,,4.87,0,,
1.86,0,,,,4.86,0,,
1.85,0,,,,4.85,0,,
1.85,0,,,,4.84,1,,
1.84,0,,,,4.83,1,,
1.84,0,,,,4.82,0,,
1.84,0,,,,4.81,0,,
1.83,0,,,,4.8,0,,
1.83,0,,,,4.79,0,,
1.82,0,,,,4.78,1,,
