0.6Amp,0.6MeV,0.3Amp,0.3MeV
1.28E+01,95.40909091,33.5,93.21100917
1.29E+01,95.40909091,33.7,93.21100917
1.29E+01,95.40909091,33.7,93.30275229
1.29E+01,95.45454545,33.8,93.30275229
1.29E+01,95.45454545,33.8,93.30275229
1.29E+01,95.54545455,34,93.39449541
1.29E+01,95.54545455,34,93.57798165
1.30E+01,95.59090909,34.1,93.57798165
1.31E+01,95.59090909,34.1,93.66972477
1.31E+01,95.63636364,34.1,93.85321101
1.31E+01,95.63636364,34.4,93.85321101
1.31E+01,95.63636364,34.5,93.94495413
1.31E+01,95.68181818,34.6,93.94495413
1.32E+01,95.68181818,34.6,94.03669725
1.32E+01,95.72727273,34.6,94.03669725
1.32E+01,95.72727273,34.7,94.12844037
1.33E+01,95.81818182,34.7,94.12844037
1.33E+01,95.81818182,34.8,94.12844037
1.34E+01,96,34.8,94.12844037
1.34E+01,96,34.9,94.22018349
1.35E+01,96.04545455,35.1,94.22018349
1.35E+01,96.09090909,35.2,94.31192661
1.35E+01,96.13636364,35.2,94.31192661
1.36E+01,96.18181818,35.2,94.31192661
1.36E+01,96.31818182,35.3,94.40366972
1.36E+01,96.31818182,35.4,94.49541284
1.37E+01,96.31818182,35.5,94.49541284
1.37E+01,96.31818182,35.7,94.49541284
1.38E+01,96.31818182,35.7,94.58715596
1.38E+01,96.40909091,35.8,94.58715596
1.39E+01,96.45454545,35.8,94.58715596
1.39E+01,96.45454545,35.8,94.58715596
1.39E+01,96.45454545,36,94.58715596
1.40E+01,96.45454545,36,94.67889908
1.40E+01,96.45454545,36,94.67889908
1.40E+01,96.54545455,36,94.67889908
1.40E+01,96.54545455,36.2,94.67889908
1.40E+01,96.63636364,36.3,94.67889908
1.41E+01,96.68181818,36.5,94.67889908
1.41E+01,96.68181818,36.5,94.7706422
1.42E+01,96.68181818,36.5,94.7706422
1.42E+01,96.68181818,36.6,94.7706422
1.43E+01,96.68181818,36.7,94.86238532
1.43E+01,96.72727273,37,94.95412844
1.43E+01,96.77272727,37,94.95412844
1.43E+01,96.81818182,37.1,94.95412844
1.44E+01,96.81818182,37.2,95.04587156
1.44E+01,96.81818182,37.2,95.04587156
1.44E+01,96.81818182,37.2,95.04587156
1.45E+01,96.81818182,37.2,95.04587156
1.45E+01,96.86363636,37.3,95.13761468
1.45E+01,96.86363636,37.4,95.13761468
1.45E+01,96.86363636,37.4,95.13761468
1.46E+01,96.90909091,37.5,95.13761468
1.46E+01,96.95454545,37.5,95.13761468
1.46E+01,96.95454545,37.5,95.2293578
1.46E+01,96.95454545,38,95.2293578
1.46E+01,96.95454545,38.1,95.2293578
1.47E+01,96.95454545,38.1,95.32110092
1.47E+01,97,38.2,95.32110092
1.47E+01,97,38.2,95.32110092
1.47E+01,97,38.4,95.41284404
1.47E+01,97.04545455,38.4,95.41284404
1.48E+01,97.04545455,38.4,95.41284404
1.48E+01,97.04545455,38.6,95.41284404
1.48E+01,97.04545455,38.6,95.41284404
1.49E+01,97.04545455,38.6,95.50458716
1.49E+01,97.04545455,38.6,95.50458716
1.49E+01,97.04545455,38.7,95.50458716
1.49E+01,97.04545455,38.7,95.50458716
1.50E+01,97.04545455,38.7,95.50458716
1.50E+01,97.04545455,38.7,95.50458716
1.50E+01,97.09090909,38.8,95.59633028
1.51E+01,97.09090909,39,95.59633028
1.51E+01,97.09090909,39.1,95.59633028
1.51E+01,97.13636364,39.1,95.68807339
1.51E+01,97.13636364,39.5,95.68807339
1.52E+01,97.18181818,39.5,95.68807339
1.52E+01,97.22727273,39.5,95.68807339
1.53E+01,97.22727273,39.6,95.77981651
1.53E+01,97.22727273,39.6,95.77981651
1.53E+01,97.22727273,39.7,95.77981651
1.53E+01,97.22727273,39.7,95.77981651
1.54E+01,97.27272727,39.8,95.87155963
1.54E+01,97.27272727,39.9,95.87155963
1.54E+01,97.27272727,39.9,95.87155963
1.54E+01,97.36363636,39.9,95.87155963
1.55E+01,97.36363636,40,95.87155963
1.55E+01,97.36363636,40.1,95.87155963
1.55E+01,97.40909091,40.2,95.87155963
1.56E+01,97.40909091,40.3,95.87155963
1.56E+01,97.40909091,40.4,95.96330275
1.56E+01,97.45454545,40.4,95.96330275
1.57E+01,97.45454545,40.4,95.96330275
1.57E+01,97.45454545,40.4,96.05504587
1.58E+01,97.45454545,40.4,96.05504587
1.58E+01,97.45454545,40.5,96.05504587
1.58E+01,97.5,40.5,96.05504587
1.58E+01,97.5,40.6,96.05504587
1.58E+01,97.5,40.6,96.05504587
1.58E+01,97.5,40.7,96.05504587
1.59E+01,97.5,40.7,96.05504587
1.59E+01,97.54545455,40.8,96.14678899
1.59E+01,97.59090909,40.9,96.14678899
1.59E+01,97.63636364,40.9,96.14678899
1.60E+01,97.63636364,41,96.14678899
1.60E+01,97.63636364,41,96.14678899
1.61E+01,97.63636364,41.3,96.14678899
1.61E+01,97.63636364,41.3,96.14678899
1.61E+01,97.72727273,41.4,96.14678899
1.61E+01,97.72727273,41.4,96.23853211
1.62E+01,97.72727273,41.4,96.23853211
1.62E+01,97.72727273,41.4,96.23853211
1.63E+01,97.72727273,41.5,96.23853211
1.63E+01,97.77272727,41.5,96.33027523
1.63E+01,97.77272727,41.6,96.33027523
1.63E+01,97.77272727,41.6,96.33027523
1.64E+01,97.77272727,41.7,96.33027523
1.64E+01,97.77272727,41.7,96.33027523
1.65E+01,97.77272727,41.8,96.33027523
1.66E+01,97.77272727,41.8,96.33027523
1.66E+01,97.81818182,41.8,96.42201835
1.66E+01,97.81818182,41.9,96.42201835
1.66E+01,97.86363636,41.9,96.42201835
1.67E+01,97.90909091,41.9,96.42201835
1.67E+01,97.90909091,42,96.42201835
1.67E+01,97.90909091,42,96.42201835
1.67E+01,97.90909091,42,96.51376147
1.67E+01,97.90909091,42.1,96.51376147
1.68E+01,97.90909091,42.3,96.51376147
1.68E+01,97.90909091,42.3,96.51376147
1.69E+01,97.95454545,42.3,96.60550459
1.69E+01,97.95454545,42.3,96.60550459
1.70E+01,97.95454545,42.4,96.60550459
1.70E+01,97.95454545,42.5,96.60550459
1.70E+01,97.95454545,42.5,96.60550459
1.70E+01,97.95454545,42.6,96.60550459
1.70E+01,98,42.6,96.60550459
1.70E+01,98,42.6,96.60550459
1.71E+01,98,42.7,96.69724771
1.71E+01,98.04545455,42.7,96.69724771
1.71E+01,98.04545455,42.8,96.69724771
1.71E+01,98.04545455,42.8,96.69724771
1.72E+01,98.04545455,42.9,96.69724771
1.74E+01,98.04545455,42.9,96.69724771
1.74E+01,98.09090909,42.9,96.69724771
1.74E+01,98.09090909,43.1,96.69724771
1.75E+01,98.09090909,43.2,96.69724771
1.75E+01,98.09090909,43.2,96.78899083
1.75E+01,98.09090909,43.2,96.78899083
1.75E+01,98.09090909,43.3,96.78899083
1.75E+01,98.13636364,43.4,96.78899083
1.75E+01,98.13636364,43.4,96.78899083
1.76E+01,98.13636364,43.5,96.78899083
1.76E+01,98.13636364,43.6,96.78899083
1.77E+01,98.22727273,43.6,96.78899083
1.77E+01,98.22727273,43.7,96.88073394
1.77E+01,98.22727273,43.7,96.88073394
1.77E+01,98.27272727,43.9,96.88073394
1.77E+01,98.27272727,43.9,96.88073394
1.77E+01,98.27272727,43.9,96.97247706
1.77E+01,98.27272727,44,96.97247706
1.79E+01,98.27272727,44,96.97247706
1.79E+01,98.27272727,44,96.97247706
1.79E+01,98.31818182,44.1,96.97247706
1.80E+01,98.31818182,44.3,96.97247706
1.80E+01,98.36363636,44.4,96.97247706
1.80E+01,98.36363636,44.4,96.97247706
1.80E+01,98.36363636,44.5,96.97247706
1.80E+01,98.36363636,44.6,97.06422018
1.81E+01,98.36363636,44.7,97.06422018
1.81E+01,98.36363636,44.8,97.06422018
1.82E+01,98.36363636,44.9,97.06422018
1.82E+01,98.36363636,45,97.06422018
1.83E+01,98.36363636,45.2,97.06422018
1.83E+01,98.36363636,45.2,97.06422018
1.83E+01,98.40909091,45.2,97.06422018
1.83E+01,98.40909091,45.3,97.06422018
1.84E+01,98.40909091,45.4,97.1559633
1.84E+01,98.40909091,45.4,97.1559633
1.85E+01,98.45454545,45.5,97.1559633
1.85E+01,98.45454545,45.5,97.1559633
1.86E+01,98.45454545,45.6,97.1559633
1.86E+01,98.45454545,45.7,97.1559633
1.87E+01,98.45454545,45.7,97.1559633
1.88E+01,98.45454545,45.8,97.24770642
1.88E+01,98.5,46,97.24770642
1.88E+01,98.5,46,97.24770642
1.89E+01,98.5,46.1,97.24770642
1.89E+01,98.5,46.1,97.24770642
1.89E+01,98.5,46.1,97.24770642
1.89E+01,98.5,46.3,97.24770642
1.89E+01,98.5,46.3,97.24770642
1.89E+01,98.5,46.4,97.24770642
1.90E+01,98.5,46.4,97.24770642
1.90E+01,98.5,46.5,97.24770642
1.91E+01,98.5,46.6,97.24770642
1.91E+01,98.5,46.6,97.33944954
1.92E+01,98.54545455,46.6,97.33944954
1.92E+01,98.54545455,46.6,97.33944954
1.92E+01,98.54545455,46.8,97.33944954
1.92E+01,98.54545455,46.8,97.33944954
1.92E+01,98.54545455,46.8,97.33944954
1.93E+01,98.54545455,46.9,97.43119266
1.93E+01,98.54545455,46.9,97.43119266
1.94E+01,98.54545455,46.9,97.43119266
1.94E+01,98.59090909,46.9,97.43119266
1.94E+01,98.59090909,46.9,97.43119266
1.95E+01,98.59090909,46.9,97.43119266
1.95E+01,98.59090909,47,97.43119266
1.95E+01,98.59090909,47.1,97.43119266
1.95E+01,98.63636364,47.1,97.43119266
1.97E+01,98.63636364,47.2,97.43119266
1.97E+01,98.63636364,47.3,97.52293578
1.97E+01,98.63636364,47.5,97.52293578
1.97E+01,98.63636364,47.5,97.52293578
1.98E+01,98.68181818,47.6,97.52293578
1.98E+01,98.68181818,47.6,97.52293578
2.00E+01,98.68181818,47.7,97.52293578
2.00E+01,98.68181818,47.7,97.52293578
2.02E+01,98.68181818,47.8,97.52293578
2.02E+01,98.68181818,48,97.52293578
2.03E+01,98.68181818,48.1,97.6146789
2.03E+01,98.68181818,48.2,97.6146789
2.03E+01,98.68181818,48.2,97.6146789
2.03E+01,98.68181818,48.3,97.6146789
2.03E+01,98.68181818,48.3,97.6146789
2.04E+01,98.68181818,48.4,97.6146789
2.05E+01,98.68181818,48.4,97.6146789
2.05E+01,98.72727273,48.4,97.6146789
2.05E+01,98.72727273,48.5,97.6146789
2.05E+01,98.72727273,48.5,97.6146789
2.06E+01,98.72727273,48.5,97.6146789
2.06E+01,98.72727273,48.7,97.70642202
2.06E+01,98.77272727,48.7,97.70642202
2.07E+01,98.77272727,49.1,97.70642202
2.07E+01,98.77272727,49.3,97.70642202
2.08E+01,98.77272727,49.4,97.70642202
2.08E+01,98.77272727,49.5,97.70642202
2.08E+01,98.81818182,49.5,97.70642202
2.08E+01,98.81818182,49.5,97.70642202
2.09E+01,98.81818182,49.5,97.79816514
2.09E+01,98.81818182,49.6,97.79816514
2.11E+01,98.86363636,49.6,97.79816514
2.11E+01,98.86363636,49.8,97.79816514
2.12E+01,98.86363636,49.8,97.79816514
2.12E+01,98.86363636,49.8,97.79816514
2.12E+01,98.86363636,49.9,97.79816514
2.13E+01,98.90909091,49.9,97.79816514
2.13E+01,98.90909091,50,97.88990826
2.14E+01,98.90909091,50,97.88990826
2.14E+01,98.90909091,50.1,97.88990826
2.14E+01,98.90909091,50.2,97.88990826
2.14E+01,98.90909091,50.2,97.88990826
2.14E+01,98.90909091,50.6,97.88990826
2.15E+01,98.90909091,50.7,97.88990826
2.15E+01,98.90909091,50.7,97.88990826
2.16E+01,98.90909091,50.8,97.88990826
2.16E+01,98.90909091,50.8,97.88990826
2.17E+01,98.90909091,50.9,97.98165138
2.18E+01,98.90909091,50.9,97.98165138
2.18E+01,98.90909091,51.1,97.98165138
2.18E+01,98.90909091,51.1,97.98165138
2.18E+01,98.90909091,51.2,97.98165138
2.18E+01,98.95454545,51.3,97.98165138
2.18E+01,98.95454545,51.3,97.98165138
2.19E+01,98.95454545,51.4,97.98165138
2.19E+01,98.95454545,51.4,97.98165138
2.20E+01,98.95454545,51.5,97.98165138
2.21E+01,98.95454545,51.5,98.0733945
2.21E+01,99,51.5,98.0733945
2.22E+01,99,51.7,98.0733945
2.23E+01,99,51.7,98.0733945
2.24E+01,99,51.8,98.0733945
2.25E+01,99,51.9,98.16513761
2.25E+01,99,51.9,98.16513761
2.25E+01,99.04545455,51.9,98.16513761
2.25E+01,99.04545455,52,98.16513761
2.26E+01,99.04545455,52,98.16513761
2.26E+01,99.04545455,52.4,98.16513761
